 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  S,  Z =  16,  atomic weight = 3.20660E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.39937E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 16
 #
 # Total elastic cross section = 1.06165E-18 cm**2 = 3.79121E-02 a0**2
 # 1st transport cross section = 2.22232E-23 cm**2 = 7.93604E-07 a0**2
 # 2nd transport cross section = 6.32969E-23 cm**2 = 2.26037E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  6.500E-02  3.21752E-07  6.24154E-14  2.22889E+03  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  5.85407E-14  2.09053E+03  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  5.46821E-14  1.95273E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  5.10790E-14  1.82406E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  4.77903E-14  1.70662E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  4.46814E-14  1.59560E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  4.16833E-14  1.48854E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  3.89483E-14  1.39087E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  3.64508E-14  1.30168E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  3.40001E-14  1.21417E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  3.17596E-14  1.13416E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  2.97118E-14  1.06103E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  2.77746E-14  9.91850E+02  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  2.59584E-14  9.26992E+02  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  2.42957E-14  8.67613E+02  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  1.28906E-14  4.60333E+02  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  7.35829E-15  2.62769E+02  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  4.53890E-15  1.62087E+02  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  2.99836E-15  1.07073E+02  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  2.09255E-15  7.47262E+01  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  1.52229E-15  5.43619E+01  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  1.14211E-15  4.07854E+01  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  8.76739E-16  3.13089E+01  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  6.84773E-16  2.44537E+01  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  5.41136E-16  1.93243E+01  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  4.33966E-16  1.54972E+01  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  3.50271E-16  1.25084E+01  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  2.85401E-16  1.01919E+01  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  2.34532E-16  8.37528E+00  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  1.94112E-16  6.93186E+00  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  1.61514E-16  5.76779E+00  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  1.35353E-16  4.83353E+00  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  1.14159E-16  4.07669E+00  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  9.68180E-17  3.45743E+00  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  8.25447E-17  2.94773E+00  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  7.07748E-17  2.52741E+00  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  6.10034E-17  2.17847E+00  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  5.28285E-17  1.88654E+00  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  4.59640E-17  1.64141E+00  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  4.01753E-17  1.43469E+00  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  3.52668E-17  1.25940E+00  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  3.10796E-17  1.10987E+00  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  2.74964E-17  9.81913E-01  0.00000E+00  1.0E-05
  8.250E-01  5.18317E-05  2.44164E-17  8.71925E-01  0.00000E+00  1.0E-05
  8.500E-01  5.50205E-05  2.17574E-17  7.76970E-01  0.00000E+00  1.0E-05
  8.750E-01  5.83045E-05  1.94511E-17  6.94610E-01  0.00000E+00  1.0E-05
  9.000E-01  6.16838E-05  1.74447E-17  6.22960E-01  0.00000E+00  1.0E-05
  9.250E-01  6.51582E-05  1.56925E-17  5.60389E-01  0.00000E+00  1.0E-05
  9.500E-01  6.87277E-05  1.41565E-17  5.05539E-01  0.00000E+00  1.0E-05
  9.750E-01  7.23925E-05  1.28052E-17  4.57281E-01  0.00000E+00  1.0E-05
  1.000E+00  7.61524E-05  1.16128E-17  4.14701E-01  0.00000E+00  6.2E-06
  1.100E+00  9.21439E-05  8.04026E-18  2.87123E-01  0.00000E+00  4.9E-06
  1.200E+00  1.09658E-04  5.75019E-18  2.05343E-01  0.00000E+00  2.8E-06
  1.300E+00  1.28695E-04  4.22502E-18  1.50878E-01  0.00000E+00  8.3E-07
  1.400E+00  1.49255E-04  3.17596E-18  1.13416E-01  0.00000E+00  8.4E-07
  1.500E+00  1.71338E-04  2.43439E-18  8.69336E-02  0.00000E+00  1.7E-06
  1.600E+00  1.94942E-04  1.89765E-18  6.77664E-02  0.00000E+00  1.9E-06
  1.700E+00  2.20070E-04  1.50121E-18  5.36091E-02  0.00000E+00  1.6E-06
  1.800E+00  2.46720E-04  1.20311E-18  4.29637E-02  0.00000E+00  1.0E-06
  1.900E+00  2.74892E-04  9.75422E-19  3.48329E-02  0.00000E+00  3.2E-07
  2.000E+00  3.04586E-04  7.99078E-19  2.85356E-02  0.00000E+00  3.7E-07
  2.100E+00  3.35803E-04  6.60775E-19  2.35967E-02  0.00000E+00  7.6E-07
  2.200E+00  3.68542E-04  5.51082E-19  1.96795E-02  0.00000E+00  8.8E-07
  2.300E+00  4.02802E-04  4.63182E-19  1.65405E-02  0.00000E+00  7.7E-07
  2.400E+00  4.38585E-04  3.92088E-19  1.40017E-02  0.00000E+00  5.0E-07
