 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Total elastic cross section = 1.10035E-20 cm**2 = 3.92943E-04 a0**2
 # 1st transport cross section = 9.95317E-26 cm**2 = 3.55434E-09 a0**2
 # 2nd transport cross section = 2.87000E-25 cm**2 = 1.02489E-08 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  2.250E-02  3.85531E-08  1.65083E-15  5.89522E+01  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.59875E-15  5.70924E+01  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.54381E-15  5.51305E+01  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.48662E-15  5.30881E+01  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.42775E-15  5.09860E+01  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.36590E-15  4.87773E+01  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.30283E-15  4.65250E+01  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  1.24285E-15  4.43829E+01  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  1.18612E-15  4.23571E+01  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  1.12303E-15  4.01042E+01  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  1.06403E-15  3.79973E+01  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  1.00911E-15  3.60360E+01  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  9.53088E-16  3.40354E+01  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  8.97969E-16  3.20671E+01  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  8.47166E-16  3.02529E+01  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  7.99112E-16  2.85368E+01  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  7.49688E-16  2.67718E+01  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  7.04399E-16  2.51546E+01  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  6.62899E-16  2.36726E+01  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  6.21084E-16  2.21793E+01  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  5.81880E-16  2.07793E+01  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  5.46045E-16  1.94996E+01  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  5.11946E-16  1.82819E+01  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  4.78769E-16  1.70971E+01  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  4.48465E-16  1.60150E+01  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  4.20758E-16  1.50255E+01  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  3.93195E-16  1.40413E+01  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  3.67967E-16  1.31404E+01  0.00000E+00  1.0E-05
