 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Fe,  Z =  26,  atomic weight = 5.58450E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.08989E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 26
 #
 # Total elastic cross section = 1.98982E-18 cm**2 = 7.10577E-02 a0**2
 # 1st transport cross section = 5.85045E-23 cm**2 = 2.08923E-06 a0**2
 # 2nd transport cross section = 1.65644E-22 cm**2 = 5.91526E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  8.250E-01  5.18317E-05  6.18704E-17  2.20943E+00  0.00000E+00  1.0E-05
  8.500E-01  5.50205E-05  5.54551E-17  1.98034E+00  0.00000E+00  1.0E-05
  8.750E-01  5.83045E-05  4.98270E-17  1.77935E+00  0.00000E+00  1.0E-05
  9.000E-01  6.16838E-05  4.48855E-17  1.60289E+00  0.00000E+00  1.0E-05
  9.250E-01  6.51582E-05  4.05327E-17  1.44745E+00  0.00000E+00  1.0E-05
  9.500E-01  6.87277E-05  3.66844E-17  1.31002E+00  0.00000E+00  1.0E-05
  9.750E-01  7.23925E-05  3.32685E-17  1.18804E+00  0.00000E+00  1.0E-05
  1.000E+00  7.61524E-05  3.02362E-17  1.07976E+00  0.00000E+00  2.9E-06
  1.100E+00  9.21439E-05  2.10369E-17  7.51242E-01  0.00000E+00  2.3E-06
  1.200E+00  1.09658E-04  1.50541E-17  5.37591E-01  0.00000E+00  1.4E-06
  1.300E+00  1.28695E-04  1.10415E-17  3.94301E-01  0.00000E+00  5.2E-07
  1.400E+00  1.49255E-04  8.27437E-18  2.95483E-01  0.00000E+00  3.7E-07
  1.500E+00  1.71338E-04  6.32413E-18  2.25839E-01  0.00000E+00  7.6E-07
  1.600E+00  1.94942E-04  4.91690E-18  1.75586E-01  0.00000E+00  8.9E-07
  1.700E+00  2.20070E-04  3.88103E-18  1.38594E-01  0.00000E+00  7.8E-07
  1.800E+00  2.46720E-04  3.10484E-18  1.10876E-01  0.00000E+00  5.3E-07
  1.900E+00  2.74892E-04  2.51424E-18  8.97851E-02  0.00000E+00  2.3E-07
  2.000E+00  3.04586E-04  2.05832E-18  7.35039E-02  0.00000E+00  1.7E-07
  2.100E+00  3.35803E-04  1.70171E-18  6.07693E-02  0.00000E+00  3.3E-07
  2.200E+00  3.68542E-04  1.41927E-18  5.06829E-02  0.00000E+00  4.0E-07
  2.300E+00  4.02802E-04  1.19332E-18  4.26144E-02  0.00000E+00  3.7E-07
  2.400E+00  4.38585E-04  1.01080E-18  3.60963E-02  0.00000E+00  2.7E-07
  2.500E+00  4.75889E-04  8.62015E-19  3.07831E-02  0.00000E+00  1.4E-07
  2.600E+00  5.14715E-04  7.39638E-19  2.64129E-02  0.00000E+00  1.0E-07
